character_name,dialogue
Harry Potter,Lumos Maxima...
Harry Potter,Lumos Maxima...
Harry Potter,Lumos Maxima...
Harry Potter,Lumos... MAXIMA!
AUNT PETUNIA,Harry! Harry!
AUNT PETUNIA,Harry!! Open the door.
AUNT PETUNIA,Marge! How lovely to see…
Harry Potter,Uncle Vernon. I need you to sign this form.
UNCLE VERNON,What is it?
Harry Potter,Nothing. School stuff
UNCLE VERNON,Later perhaps. If you behave.
Harry Potter,I will if she does.
AUNT MARGE,"You still here, are you?"
Harry Potter,Yes.
AUNT MARGE,Don't say 'yes' in that ungrateful way.
AUNT MARGE,Damn good of my brother to keep you.
AUNT MARGE,He'd have been straight to an orphanage if he'd been dumped on my doorstep.
AUNT MARGE,Is that my Dudders?
AUNT MARGE,Is that my little neffy-pooh?
AUNT MARGE,"Give us a kiss. Come on. Up, up."
UNCLE VERNON,Take Marge's suitcase upstairs.
Harry Potter,Okay.
AUNT MARGE,Finish that off for Mommy.
AUNT MARGE,"Good boy, Rippy-pooh."
UNCLE VERNON,"Can I tempt you, Marge?"
AUNT MARGE,Just a small one.
AUNT MARGE,"Excellent nosh, Petunia."
AUNT MARGE,A bit more.
AUNT MARGE,"Usually just a fry-up for me, what with 12 dogs."
AUNT MARGE,Just a bit more. That's a boy.
AUNT MARGE,You wanna try a little drop of brandy?
AUNT MARGE,A little drop of brandy-brandy windy-wandy for Rippy-pippy-pooh?
AUNT MARGE,What are you smirking at?
AUNT MARGE,"Where did you send the boy, Vernon?"
UNCLE VERNON,St. Brutus'. It's a fine institution for hopeless cases.
AUNT MARGE,"Do they use a cane at St. Brutus', boy?"
Harry Potter,"Oh, yeah."
Harry Potter,Yeah. I've been beaten loads of times.
AUNT MARGE,Excellent. I won't have this namby-pamby...wishy-washy nonsense about not beating people who deserve it.
AUNT MARGE,You mustn't blame yourself about how this one turned out.
AUNT MARGE,It's all to do with blood.
AUNT MARGE,Bad blood will out.
AUNT MARGE,"What is it the boy's father did, Petunia?"
AUNT PETUNIA,Nothing. He didn't work.
AUNT PETUNIA,He was unemployed.
AUNT MARGE,"And a drunk too, no doubt?"
Harry Potter,That's a lie.
AUNT MARGE,What did you say?
Harry Potter,My dad wasn't a drunk.
AUNT MARGE,"Don't worry. Don't fuss, Petunia."
AUNT MARGE,I have a very firm grip.
UNCLE VERNON,I think it's time you went to bed.
AUNT MARGE,"Quiet, Vernon. You, clean it up."
AUNT MARGE,"Actually, it's nothing to do with the father."
AUNT MARGE,It's all to do with the mother.
AUNT MARGE,You see it all the time with dogs.
AUNT MARGE,"If something's wrong with the bitch, then something's wrong with the pup."
Harry Potter,Shut up! Shut up!
AUNT MARGE,Right.
AUNT MARGE,Let me tell you...
AUNT MARGE,"Vernon! Vernon! Vernon, do something!"
UNCLE VERNON,Stop!
UNCLE VERNON,"I've got you, Marge. I've got you."
UNCLE VERNON,"Hold on, hold on."
UNCLE VERNON,Get off.
AUNT MARGE,Don't you dare!
UNCLE VERNON,Sorry.
AUNT PETUNIA,"Oh, Vernon."
UNCLE VERNON,"Oh, God. Marge!"
UNCLE VERNON,Please! Marge! Come back!
UNCLE VERNON,You bring her back!
UNCLE VERNON,You bring her back now.
UNCLE VERNON,You put her right!
Harry Potter,No. She deserved what she got.
Harry Potter,Keep away from me.
UNCLE VERNON,You can't do magic outside school.
Harry Potter,Yeah? Try me.
UNCLE VERNON,They won't let you back now.
UNCLE VERNON,You've nowhere to go.
Harry Potter,I don't care.
Harry Potter,Anywhere is better than here.
STAN SHUNPIKE,Welcome to the Knight Bus...emergency transport for the stranded witch or wizard.
"
STAN SHUNPIKE","	My name is Stan Shunpike, and I will be your conductor for this evening."
STAN SHUNPIKE,What you doing down there?
Harry Potter,I fell over.
STAN SHUNPIKE,What you fall over for?
Harry Potter,I didn't do it on purpose.
STAN SHUNPIKE,"Well, come on, then."
STAN SHUNPIKE,Let's not wait for the grass to grow.
STAN SHUNPIKE,What you looking at?
Harry Potter,Nothing.
STAN SHUNPIKE,"Well, come on, then. In."
STAN SHUNPIKE,"No, no, no. I'll get this."
STAN SHUNPIKE,You get in.
STAN SHUNPIKE,"Come on. Come on. Move on, move on."
STAN SHUNPIKE,"Take her away, Ern."
SHRUNKEN HEAD,"Yeah, take it away, Ernie."
SHRUNKEN HEAD,It's going to be a bumpy ride.
STAN SHUNPIKE,What did you say your name was?
Harry Potter,I didn't.
STAN SHUNPIKE,Where abouts are you headed?
Harry Potter,he Leaky Cauldron. That's in London.
STAN SHUNPIKE,"You hear that? ""The Leaky Cauldron. That's in London."""
SHRUNKEN HEAD,The Leaky Cauldron.
SHRUNKEN HEAD,If you have pea soup make sure you eat it before it eats you.
Harry Potter,But the Muggles. Can't they see us?
STAN SHUNPIKE,"Muggles? They don't see nothing, do they?"
STAN SHUNPIKE,"No, but if you jab them with a fork, they feel."
SHRUNKEN HEAD,"Ernie, little old lady at 12 o'clock!"
SHRUNKEN HEAD,"Ten, nine, eight...seven, six, five...four, three, three and a half...two, one and three quarters."
SHRUNKEN HEAD,Yes!
Harry Potter,Who is that? That man.
STAN SHUNPIKE,Who is that? Who is...?
STAN SHUNPIKE,"That is Sirius Black, that is."
STAN SHUNPIKE,Don't tell me you've never been hearing of Sirius Black.
STAN SHUNPIKE,He's a murderer.
STAN SHUNPIKE,Got himself locked up in Azkaban for it.
Harry Potter,How did he escape?
STAN SHUNPIKE,"Well, that's the question, isn't it?"
STAN SHUNPIKE,He's the first one that done it.
STAN SHUNPIKE,He was a big supporter of You-Know-Who.
STAN SHUNPIKE,I reckon you've heard of him.
Harry Potter,Yeah. Him I've heard of.
SHRUNKEN HEAD,"Ernie, two double-deckers at 12 o'clock."
SHRUNKEN HEAD,"They're getting closer, Ernie."
SHRUNKEN HEAD,"Ernie, they're right on top of us!"
SHRUNKEN HEAD,Mind your head.
SHRUNKEN HEAD,"Hey, guys? Guys?"
SHRUNKEN HEAD,Why the long faces?
SHRUNKEN HEAD,"Yeah, yeah. Nearly there. Nearly there."
STAN SHUNPIKE,The Leaky Cauldron.
SHRUNKEN HEAD,"Next stop, Knockturn Alley."
TOM,"Mr. Potter, at last."
STAN SHUNPIKE,"Take it away, Ern."
SHRUNKEN HEAD,"Yeah, take it away, Ernie!"
TOM,Room 11.
Harry Potter,Hedwig.
TOM,"Right smart bird you got there, Mr. Potter."
TOM,He arrived here just five minutes before yourself.
FUDGE,"As Minister for Magic, it is my duty to inform you, Mr. Potter earlier this evening your uncle's sister was located a little south of Sheffield, circling a chimney stack."
FUDGE,The Accidental Magic Reversal Department was dispatched immediately.
FUDGE,She has been properly punctured and her memory modified.
FUDGE,She will have no recollection of the incident whatsoever.
FUDGE,So that's that and no harm done.
FUDGE,Pea soup?
Harry Potter,"No, thank you. Minister?"
FUDGE,Yes?
Harry Potter,I don't understand.
FUDGE,Understand?
Harry Potter,I broke the law. Underage wizards can't use magic at home.
FUDGE,Come now Harry. The Ministry doesn't send people to Azkaban for blowing up their aunts.
FUDGE,"On the other hand, running away like that, given the state of things was very, very irresponsible."
Harry Potter,"The state of things, sir?"
FUDGE,We have a killer on the loose.
Harry Potter,"Sirius Black, you mean?"
Harry Potter,But what's he got to do with me?
FUDGE,"Nothing, of course. You're safe."
FUDGE,And that's what matters.
FUDGE,And tomorrow you'll be on your way back to Hogwarts.
FUDGE,These are your new schoolbooks.
FUDGE,I took the liberty of having them brought here.
FUDGE,Now Tom will show you to your room.
Harry Potter,Hedwig.
FUDGE,"Oh, by the way, Harry. Whilst you're here, it would be best if you didn't wander."
VENDOR,Right! You gonna move that bus or what?
HOUSEKEEPER,Housekeeping! I'll come back later.
Ron Weasley,"I'm warning you, Hermione."
Ron Weasley,"Keep that beast away from Scabbers, or I'll turn it into a tea cozy."
